feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
AMP,TRAIN,-15,5,20,0.45961054943713053,-0.040755774437364174,0.5003663238744948
AMP,TRAIN,-15,15,20,1.9639797894406072,0.09573286409716932,1.868246925343438
AMP,TRAIN,-10,5,26,-0.10596648530163894,-0.022945856097004034,-0.0830206292046349
AMP,TRAIN,-10,15,26,1.7693510426230807,0.0829255461097119,1.686425496513369
AMP,TRAIN,-5,5,20,0.6988894386913058,-0.049080095868794124,0.7479695345601
AMP,TRAIN,-5,15,20,1.3426191432260626,0.11244008877904824,1.2301790544470144
AMP,TRAIN,-3,5,27,0.39335785283300173,-0.04428142377284903,0.4376392766058508
AMP,TRAIN,-3,15,27,0.8164785932406574,0.12139135512861117,0.6950872381120462
AMP,TRAIN,-2,5,24,0.8518947294040332,-0.05964111823859737,0.9115358476426306
AMP,TRAIN,-2,15,24,1.4311233175760865,0.10122222826600902,1.3299010893100776
AMP,TRAIN,-1,5,29,0.9208145046581685,-0.07011452514048727,0.9909290297986557
AMP,TRAIN,-1,15,29,1.1604424256646435,0.1031487778950322,1.0572936477696113
AMP,TRAIN,1,5,49,0.1188080875671096,-0.037969749824499195,0.1567778373916088
AMP,TRAIN,1,15,49,0.5635383242809178,0.11658564027050536,0.44695268401041244
AMP,TRAIN,2,5,43,0.11730475835799915,-0.0363270861311309,0.15363184448913006
AMP,TRAIN,2,15,43,0.3922937099742045,0.13308027823315097,0.2592134317410535
AMP,TRAIN,3,5,35,-0.02438731011987651,-0.0263459939494556,0.0019586838295790887
AMP,TRAIN,3,15,35,0.2970889940235949,0.14184182201305331,0.15524717201054158
AMP,TRAIN,5,5,38,0.014136554829992482,-0.02872813806547466,0.04286469289546714
AMP,TRAIN,5,15,38,0.43015194123464495,0.13284811922795312,0.2973038220066918
AMP,TRAIN,10,5,27,-0.036349300529861676,-0.0258067531664839,-0.010542547363377775
AMP,TRAIN,10,15,27,0.19646619832424303,0.14817589058900024,0.04829030773524279
AMP,TRAIN,15,5,21,-0.03632661919216908,-0.02590727618268548,-0.010419343009483596
AMP,TRAIN,15,15,21,0.3327051569667295,0.14410096779172488,0.1886041891750046
AMP,TRAIN,30,5,13,-0.13337142867964774,-0.02407203042059615,-0.10929939825905159
AMP,TRAIN,30,15,13,0.005416180096121061,0.1531206707850237,-0.14770449068890265
AMP,TRAIN,60,5,13,0.4666740820379044,-0.036222484687462454,0.5028965667253669
AMP,TRAIN,60,15,13,0.8711800571907768,0.13550732117276934,0.7356727360180075
AMP,TRAIN,120,5,20,-0.49919334454711073,-0.011345205058135325,-0.48784813948897543
AMP,TRAIN,120,15,20,-0.13543987133293114,0.15921410822711762,-0.2946539795600488
