transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-02-29 04:00:00+00:00,PULLBACK,1,2,60.0,3.0,2.0,True
2020-02-29 04:00:00+00:00,PULLBACK,1,3,60.0,3.0,2.0,True
2020-02-29 04:00:00+00:00,PULLBACK,2,1,60.0,3.0,1.0,True
2020-02-29 04:00:00+00:00,PULLBACK,2,2,60.0,3.0,1.0,True
2020-02-29 04:00:00+00:00,PULLBACK,2,3,60.0,3.0,1.0,True
2020-02-29 04:00:00+00:00,PULLBACK,3,1,0.0,0.0,3.0,False
2020-02-29 04:00:00+00:00,PULLBACK,3,2,60.0,3.0,2.0,True
2020-02-29 04:00:00+00:00,PULLBACK,3,3,60.0,3.0,2.0,True
2020-03-05 12:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,1,2,20.0,2.0,3.0,False
2020-03-05 12:00:00+00:00,EXPANSION,1,3,35.0,3.0,3.0,False
2020-03-05 12:00:00+00:00,EXPANSION,2,1,20.0,2.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,2,2,35.0,3.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,2,3,35.0,3.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,3,1,25.0,2.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,3,2,35.0,3.0,4.0,False
2020-03-05 12:00:00+00:00,EXPANSION,3,3,35.0,3.0,4.0,False
2020-03-06 00:00:00+00:00,RANGE,1,1,20.0,1.0,4.0,False
2020-03-06 00:00:00+00:00,RANGE,1,2,20.0,1.0,4.0,False
2020-03-06 00:00:00+00:00,RANGE,1,3,30.0,2.0,3.0,False
2020-03-06 00:00:00+00:00,RANGE,2,1,0.0,0.0,4.0,False
2020-03-06 00:00:00+00:00,RANGE,2,2,30.0,2.0,3.0,False
2020-03-06 00:00:00+00:00,RANGE,2,3,30.0,2.0,3.0,False
2020-03-06 00:00:00+00:00,RANGE,3,1,30.0,2.0,3.0,False
2020-03-06 00:00:00+00:00,RANGE,3,2,30.0,2.0,3.0,False
2020-03-06 00:00:00+00:00,RANGE,3,3,40.0,3.0,3.0,False
2020-03-08 08:00:00+00:00,EXPANSION,1,1,10.0,1.0,4.0,False
2020-03-08 08:00:00+00:00,EXPANSION,1,2,10.0,1.0,4.0,False
2020-03-08 08:00:00+00:00,EXPANSION,1,3,35.0,3.0,4.0,False
2020-03-08 08:00:00+00:00,EXPANSION,2,1,0.0,0.0,4.0,False
2020-03-08 08:00:00+00:00,EXPANSION,2,2,35.0,3.0,3.0,False
2020-03-08 08:00:00+00:00,EXPANSION,2,3,80.0,5.0,1.0,True
2020-03-08 08:00:00+00:00,EXPANSION,3,1,35.0,3.0,4.0,False
2020-03-08 08:00:00+00:00,EXPANSION,3,2,80.0,5.0,1.0,True
2020-03-08 08:00:00+00:00,EXPANSION,3,3,80.0,5.0,1.0,True
2020-03-17 04:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
